"","rowid","blockType","diceIndices_1","diceIndices_2","block","trialIndex","allTrialIndex","key","R","startSqueezyAcquisition","stateTime","state","diceWeights_1","diceWeights_2","diceWeights_3","diceWeights_4","criteria_1","criteria_2","criteria_3","criteria_4","criteria_5","bank","purse_1","purse_2","diceRollTime","break.","chosenDice","startDice","chosenDiceLocation","endDice","chosenWinProbs_1","chosenWinProbs_2","unchosenDice","rand_1","rand_2","winnings_1","winnings_2","randRwd","allowedWinnings_1","allowedWinnings_2","totalWin","isPurseFull_1","isPurseFull_2","winCurrency","isWinPurseFull","startReward","endReward","isPurseFullAfterReward_1","isPurseFullAfterReward_2","meanRecentChoice","moveToBank","goToNextState","recentPreference_1","recentPreference_2","startITI","startScan","subject_nr","stateName","correctDice","correct"
"369",370,1,1,2,1,140,140,0,1,529150.3347637,6,15,0,0.85,0.85,0,0,1,20,1,2,65,5,1,1.28128332644058,0,2,529150.6690568,2,529151.5801952,0.85,0,0,0.542190668251523,0.0931765223592025,1,0,0.110720996560857,0,0,1,1,0,1,1,529152.9012124,529152.9392229,1,0,1.66666666666667,0,0,0,0,529153.6858282,528669.0724677,23,"switch",1,0
"370",371,1,2,1,1,141,141,0,1,529154.1316272,7,15,0,0.85,0.85,0,0,1,20,1,2,65,5,2,0.969153497642293,0,1,529154.4721418,2,529155.1307058,0,0.85,1,0.102125862171202,0.596115959137261,0,1,0.744240469411017,0,1,1,1,0,2,0,529156.1741331,529156.7033668,1,0,1.66666666666667,0,0,0,0,529156.7040944,528669.0724677,23,"switch",1,1
"371",372,1,1,2,1,142,142,0,1,529157.1408376,8,15,0,0.85,0.85,0,0,1,20,1,2,65,5,3,1.82662794200386,0,1,529157.4745288,1,529158.0256183,0,0.85,1,0.686558536092188,0.760354582440845,0,1,0.466701778640867,0,1,1,1,0,2,0,529159.9097861,529160.4370561,1,0,1.55555555555556,0,0,0,0,529160.4377656,528669.0724677,23,"switch",1,1
"372",373,1,2,1,1,143,143,0,1,529160.8767097,9,15,0,0.85,0.85,0,0,1,20,1,2,65,5,3,1.72113563244389,0,2,529161.2277323,1,529161.6232599,0.85,0,0,0.861803182172168,0.0345601816187936,0,0,0.792677172784298,0,0,0,1,0,0,0,529163.4128074,529163.9392892,1,0,1.44444444444444,0,0,0,0,529163.9406288,528669.0724677,23,"switch",1,0
"373",374,1,2,1,1,144,144,0,1,529164.2201898,10,15,0,0.85,0.85,0,0,1,20,1,2,65,5,4,0.582050911680386,0,1,529164.5639048,2,529166.2655806,0,0.85,1,0.830635168991461,0.0530264115545728,0,1,0.169821339591364,0,1,1,1,0,2,0,529166.9163939,529167.4431451,1,0,1.44444444444444,0,0,0,0,529167.4438974,528669.0724677,23,"switch",1,1
"374",375,1,1,2,1,145,145,0,1,529167.884319,11,15,0,0.85,0.85,0,0,1,20,1,2,70,5,0,1.09741316639848,0,1,529168.2335806,1,529168.6128885,0,0.85,1,0.968308165849388,0.732324589068871,0,1,0.587989840390759,0,1,1,1,0,2,0,529169.785395,529170.3119514,1,1,1.33333333333333,2,0,0,0,529171.6781167,528669.0724677,23,"switch",1,1
"375",376,1,2,1,1,146,146,0,1,529172.2161387,12,15,0,0.85,0.85,0,0,1,20,1,2,70,5,1,1.19803561656886,0,1,529172.5538389,2,529173.2894325,0,0.85,1,0.50528313475843,0.299231225138461,0,1,0.800219307687682,0,1,1,1,0,2,0,529174.5560225,529175.082369,1,0,1.22222222222222,0,0,1,0,529175.0830811,528669.0724677,23,"switch",1,1
"376",377,1,1,2,1,147,147,0,1,529175.5247078,13,15,0,0.85,0.85,0,0,1,20,1,2,75,0,1,1.82074879507373,0,1,529175.8733731,1,529176.2403108,0,0.85,1,0.156007048604221,0.441064048519608,1,0,0.865010186996261,0,0,1,1,0,1,1,529178.0944731,529178.1295694,1,0,1.22222222222222,1,1,1,0,529180.2541187,528669.0724677,23,"switch",1,1
"377",378,1,1,2,1,148,148,0,1,529180.7418665,1,16,0,0.85,0.85,0,0,0,4,0,3,75,1,1,0.974696397476105,0,1,529181.0775807,1,529181.5472793,0,0.85,1,0.725401753009081,0.378789261302649,1,0,0.876528894809926,1,0,1,0,0,1,0,529182.5787447,529183.1324491,0,0,1.22222222222222,0,0,1,0,529183.1335846,528669.0724677,23,"post",3,0
"378",379,1,1,2,1,149,149,0,1,529183.5860513,2,16,0,0.85,0.85,0,0,0,4,0,3,75,2,1,1.86860577717981,0,1,529183.9299109,1,529184.7597944,0,0.85,1,0.285299491226447,0.036217648440934,1,0,0.977671181906887,1,0,1,0,0,1,0,529186.6995522,529187.2373178,0,0,1.22222222222222,0,0,1,0,529187.2380201,528669.0724677,23,"post",3,0
"379",380,1,2,1,1,150,150,0,1,529187.6847561,3,16,0,0.85,0.85,0,0,0,4,0,3,75,2,2,1.46409204310581,0,1,529188.0333509,2,529188.7944261,0,0.85,1,0.170931150722038,0.325065001007958,0,1,0.478041456548819,0,1,1,0,0,2,0,529190.3358664,529190.8650645,0,0,1.11111111111111,0,0,1,0,529190.8658295,528669.0724677,23,"post",3,0
"380",381,1,2,1,1,151,151,0,1,529191.3033229,4,16,0,0.85,0.85,0,0,0,4,0,3,75,2,3,1.87095355099198,0,1,529191.6530167,2,529192.2667167,0,0.85,1,0.74664641810933,0.403637121450027,0,1,0.805224927725449,0,1,1,0,0,2,0,529194.2056991,529194.7348353,0,0,1.11111111111111,0,1,1,0,529194.7364432,528669.0724677,23,"post",3,0
"381",382,1,2,1,1,152,152,0,1,529195.1830742,1,17,0,0.85,0.15,0,0,1,20,0,3,75,3,3,1.37992636639467,0,1,529195.5229918,2,529197.393373,0,0.85,1,0.752487957245519,0.152943897250035,1,0,0.940341610096846,1,0,1,0,0,1,0,529198.825425,529199.3550604,0,0,1.11111111111111,0,0,1,0,529199.3557727,528669.0724677,23,"learning",1,1
"382",383,1,1,2,1,153,153,0,1,529199.7997341,2,17,0,0.85,0.15,0,0,1,20,0,3,75,4,3,2.08509330480807,0,1,529200.1434205,1,529201.3828281,0,0.85,1,0.910976587393984,0.464993478895544,1,0,0.917588609484838,1,0,1,0,0,1,0,529203.5468829,529204.0821478,0,0,1,0,0,1,0,529204.0828826,528669.0724677,23,"learning",1,1
"383",384,1,2,1,1,154,154,0,1,529204.5220674,3,17,0,0.85,0.15,0,0,1,20,0,3,75,4,4,0.953830995372409,0,1,529204.864002,2,529205.3233977,0,0.85,1,0.475006435147566,0.432530301630241,0,1,0.278598089923516,0,1,1,0,0,2,0,529206.3491185,529206.8753207,0,0,1,0,0,1,0,529206.8760336,528669.0724677,23,"learning",1,1
"384",385,1,1,2,1,155,155,0,1,529207.3152156,4,17,0,0.85,0.15,0,0,1,20,0,3,80,4,0,1.85720761768928,0,1,529207.6663015,1,529208.9619583,0,0.85,1,0.484155568267885,0.286158372215994,0,1,0.693138381676665,0,1,1,0,0,2,0,529210.8854965,529211.4149961,0,1,1,2,0,1,0,529212.7635638,528669.0724677,23,"learning",1,1
"385",386,1,1,2,1,156,156,0,1,529213.2733064,5,17,0,0.85,0.15,0,0,1,20,0,3,80,4,0,0.838913431217229,0,2,529213.6212859,2,529213.9766913,0.15,0,0,0.582295422507246,0.719911671091282,0,0,0.612681476792925,0,0,0,0,0,0,0,529214.8888513,529215.4384527,0,0,1,0,0,1,0,529215.4397842,528669.0724677,23,"learning",1,0
"386",387,1,2,1,1,157,157,0,1,529215.7196924,6,17,0,0.85,0.15,0,0,1,20,0,3,80,4,0,1.16094513640521,0,2,529216.0567109,1,529217.2570111,0.15,0,0,0.94432776339933,0.780916305105951,0,0,0.0237217865192136,0,0,0,0,0,0,0,529218.4751114,529219.0046939,0,0,1.11111111111111,0,0,1,0,529219.0065992,528669.0724677,23,"learning",1,0
"387",388,1,2,1,1,158,158,0,1,529219.2819738,7,17,0,0.85,0.15,0,0,1,20,0,3,80,4,1,1.53892316313654,0,1,529219.6262817,2,529220.0874216,0,0.85,1,0.84754118565431,0.364835446628409,0,1,0.498608792116323,0,1,1,0,0,2,0,529221.6945105,529222.2227942,0,0,1.22222222222222,0,0,1,0,529222.2236395,528669.0724677,23,"learning",1,1
"388",389,1,2,1,1,159,159,0,1,529222.6647837,8,17,0,0.85,0.15,0,0,1,20,0,3,85,0,1,2.15004709150287,0,1,529223.0122999,2,529223.9495712,0,0.85,1,0.633437428585671,0.0492451773475053,1,0,0.883097026988598,1,0,1,0,0,1,0,529226.1655553,529226.693842,1,0,1.22222222222222,1,0,1,0,529228.0422523,528669.0724677,23,"learning",1,1
"389",390,1,1,2,1,160,160,0,1,529228.555593,9,17,0,0.85,0.15,0,0,1,20,0,3,85,0,2,2.46042142491519,0,1,529228.9006547,1,529228.9014711,0,0.85,1,0.0924133704258242,0.332201605692339,0,1,0.0210142556725557,0,1,1,0,0,2,0,529231.4359826,529231.9643653,0,0,1.22222222222222,0,1,1,0,529231.965162,528669.0724677,23,"learning",1,1
"390",391,1,1,2,1,161,161,0,1,529232.3987509,1,18,0,0.85,0.15,0,2,0,0,0,1,85,0,3,0.707843205885003,0,1,529232.737175,1,529233.1443624,0,0.85,1,0.114745102074781,0.70836663553193,0,1,0.799077561086736,0,1,1,0,0,2,0,529233.9213785,529234.4599316,0,0,1.22222222222222,0,0,1,0,529234.4605948,528669.0724677,23,"fill",1,1
"391",392,1,1,2,1,162,162,0,1,529234.9417706,2,18,0,0.85,0.15,0,2,0,0,0,1,85,0,4,1.42857547081583,0,1,529235.2893687,1,529235.7133617,0,0.85,1,0.917536319637251,0.535804004237616,0,1,0.667959326846234,0,1,1,0,0,2,0,529237.2249623,529237.7528464,0,0,1.22222222222222,0,0,1,0,529237.7539584,528669.0724677,23,"fill",1,1
"392",393,1,1,2,1,163,163,0,1,529238.2012772,3,18,0,0.85,0.15,0,2,0,0,0,1,85,0,5,1.12978675469191,0,1,529238.541987,1,529238.9932,0,0.85,1,0.518658411598344,0.707722455257509,0,1,0.704290783963847,0,1,1,0,0,2,0,529240.194124,529240.7368553,0,1,1.22222222222222,0,1,1,0,529240.7376158,528669.0724677,23,"fill",1,1
"393",394,1,2,1,1,164,164,0,1,529241.1783484,1,19,0,0,0,0,0,0,8,0,1,85,0,5,1.88412081932725,0,1,529241.5278871,2,529242.290546,0,0,1,0.799023021962588,0.350568583889876,0,0,0.920942671471899,0,0,0,0,1,0,0,529244.246646,529244.7742433,0,1,1.22222222222222,0,0,1,0,529244.7758262,528669.0724677,23,"extinction",2,0
"394",395,1,1,2,1,165,165,0,1,529245.0550485,2,19,0,0,0,0,0,0,8,0,1,85,0,5,2.31054805198843,0,2,529245.3976743,2,529245.9900589,0,0,0,0.586650340685614,0.306434858826188,0,0,0.93182107846538,0,0,0,0,1,0,0,529248.3666238,529248.8933547,0,1,1.22222222222222,0,0,1,0,529248.8946887,528669.0724677,23,"extinction",2,1
"395",396,1,1,2,1,166,166,0,1,529249.1727395,3,19,0,0,0,0,0,0,8,0,1,85,0,5,1.01963499754539,0,1,529249.5178567,1,529250.328968,0,0,1,0.290360508681924,0.476739302038104,0,0,0.829452077128515,0,0,0,0,1,0,0,529251.4192368,529251.9456656,0,1,1.22222222222222,0,0,1,0,529251.9469941,528669.0724677,23,"extinction",2,0
"396",397,1,2,1,1,167,167,0,1,529252.2270674,4,19,0,0,0,0,0,0,8,0,1,85,0,5,1.1463459832132,0,1,529252.5703173,2,529253.0523507,0,0,1,0.950445706895344,0.969979683060853,0,0,0.943239257590493,0,0,0,0,1,0,0,529254.2714906,529254.79916,0,1,1.11111111111111,0,0,1,0,529254.8004889,528669.0724677,23,"extinction",2,0
"397",398,1,1,2,1,168,168,0,1,529255.0809962,5,19,0,0,0,0,0,0,8,0,1,85,0,5,1.62358545750341,0,2,529255.4227544,2,529256.0012374,0,0,0,0.479547717360598,0.202543631734288,0,0,0.0338436893221242,0,0,0,0,1,0,0,529257.6910355,529258.2176749,0,1,1.11111111111111,0,0,1,0,529258.2189969,528669.0724677,23,"extinction",2,1
"398",399,1,2,1,1,169,169,0,1,529258.4988739,6,19,0,0,0,0,0,0,8,0,1,85,0,5,2.82148757141074,0,1,529258.8421956,2,529259.5108373,0,0,1,0.204033611849966,0.306777064726363,0,0,0.36632299895805,0,0,0,0,1,0,0,529262.3950482,529262.9282566,0,1,1.22222222222222,0,0,1,0,529262.9295895,528669.0724677,23,"extinction",2,0
"399",400,1,2,1,1,170,170,0,1,529263.2284707,7,19,0,0,0,0,0,0,8,0,1,85,0,5,1.93889782932538,0,2,529263.5627955,1,529264.3685968,0,0,0,0.110506748283657,0.230208902843676,0,0,0.587146804853392,0,0,0,0,1,0,0,529266.3649143,529266.8921874,0,1,1.22222222222222,0,0,1,0,529266.8935963,528669.0724677,23,"extinction",2,1
