"","lr","tau","m"
"1",0.729117109006973,3.24559579642422,3.24559579642422
"2",0.517484936298014,4.10876022192462,4.10876022192462
"3",0.830304442739057,1.64331069725096,1.64331069725096
"4",0.771772867478326,1.16277087098981,1.16277087098981
"5",0.569714702215069,3.92823784532231,3.92823784532231
"6",0.816662169042567,1.70846693607409,1.70846693607409
"7",0.801941247914218,2.08506172110134,2.08506172110134
"8",0.681054153649252,1.62233440610316,1.62233440610316
"9",0.692947572874534,1.58177596634539,1.58177596634539
"10",0.607785837927263,3.04085323767245,3.04085323767245
"11",0.717106657961948,0.761214764258182,0.761214764258182
"12",0.694213165936148,2.6426996312429,2.6426996312429
"13",0.708275968191708,1.96941430432003,1.96941430432003
"14",0.837659436427057,0.666790236970195,0.666790236970195
"15",0.557559836765497,0.541680909958449,0.541680909958449
"16",0.741888038245764,2.18254263837014,2.18254263837014
"17",0.739477973569924,1.68711081850385,1.68711081850385
"18",0.671267629579438,2.50734742888494,2.50734742888494
"19",0.592664577216821,5.41762408410205,5.41762408410205
"20",0.593667029718914,1.51754295580789,1.51754295580789
"21",0.799445318307072,4.43394880317439,4.43394880317439
"22",0.571199721227506,1.88416433931434,1.88416433931434
